n,size,misses
1438,689519,2070720
1439,691439,2073599
1440,2880,2076480
1441,689512,2079363
1442,691434,2082248
1443,693358,2085135
1444,695284,2088024
1445,697212,2090915
1446,2892,2093808
1447,695277,2096703
1448,697207,2099600
1449,699139,2102499
1450,701073,2105400
1451,703009,2108303
1452,2904,2111208
1453,701066,2114115
1454,703004,2117024
1455,704944,2119935
1456,706886,2122848
1457,708830,2125763
1458,2916,2128680
1459,706879,2131599
1460,708825,2134520
1461,710773,2137443
1462,712723,2140368
1463,714675,2143295
1464,2928,2146224
1465,712716,2149155
1466,714670,2152088
1467,716626,2155023
1468,718584,2157960
1469,720544,2160899
1470,2940,2163840
1471,718577,2166783
1472,720539,2169728
1473,722503,2172675
1474,724469,2175624
1475,726437,2178575
1476,2952,2181528
1477,724462,2184483
1478,726432,2187440
1479,728404,2190399
1480,730378,2193360
1481,732354,2196323
1482,2964,2199288
1483,730371,2202255
1484,732349,2205224
1485,734329,2208195
1486,736311,2211168
1487,738295,2214143
1488,2976,2217120
1489,736304,2220099
1490,738290,2223080
1491,740278,2226063
1492,742268,2229048
1493,744260,2232035
1494,2988,2235024
1495,742261,2238015
1496,744255,2241008
1497,746251,2244003
1498,748249,2247000
1499,750249,2249999
1500,3000,2253000
1501,748242,2256003
1502,750244,2259008
1503,752248,2262015
1504,754254,2265024
1505,756262,2268035
1506,3012,2271048
1507,754247,2274063
1508,756257,2277080
1509,758269,2280099
1510,760283,2283120
1511,762299,2286143
1512,3024,2289168
1513,760276,2292195
1514,762294,2295224
1515,764314,2298255
1516,766336,2301288
1517,768360,2304323
1518,3036,2307360
1519,766329,2310399
1520,768355,2313440
1521,770383,2316483
1522,772413,2319528
1523,774445,2322575
1524,3048,2325624
1525,772406,2328675
1526,774440,2331728
1527,776476,2334783
1528,778514,2337840
1529,780554,2340899
1530,3060,2343960
1531,778507,2347023
1532,780549,2350088
1533,782593,2353155
1534,784639,2356224
1535,786687,2359295
1536,3072,2362368
1537,784632,2365443
1538,786682,2368520
1539,788734,2371599
1540,790788,2374680
1541,792844,2377763
1542,3084,2380848
1543,790781,2383935
1544,792839,2387024
1545,794899,2390115
1546,796961,2393208
1547,799025,2396303
1548,3096,2399400
1549,796954,2402499
1550,799020,2405600
1551,801088,2408703
1552,803158,2411808
1553,805230,2414915
1554,3108,2418024
1555,803151,2421135
1556,805225,2424248
1557,807301,2427363
1558,809379,2430480
1559,811459,2433599
1560,3120,2436720
1561,809372,2439843
1562,811454,2442968
1563,813538,2446095
1564,815624,2449224
1565,817712,2452355
1566,3132,2455488
1567,815617,2458623
1568,817707,2461760
1569,819799,2464899
1570,821893,2468040
1571,823989,2471183
1572,3144,2474328
1573,821886,2477475
1574,823984,2480624
1575,826084,2483775
1576,828186,2486928
1577,830290,2490083
1578,3156,2493240
1579,828179,2496399
1580,830285,2499560
1581,832393,2502723
1582,834503,2505888
1583,836615,2509055
1584,3168,2512224
1585,834496,2515395
1586,836610,2518568
1587,838726,2521743
1588,840844,2524920
1589,842964,2528099
1590,3180,2531280
1591,840837,2534463
1592,842959,2537648
1593,845083,2540835
1594,847209,2544024
1595,849337,2547215
1596,3192,2550408
1597,847202,2553603
1598,849332,2556800
1599,851464,2559999
1600,853598,2563200
1601,855734,2566403
1602,3204,2569608
1603,853591,2572815
1604,855729,2576024
1605,857869,2579235
1606,860011,2582448
1607,862155,2585663
1608,3216,2588880
1609,860004,2592099
1610,862150,2595320
1611,864298,2598543
1612,866448,2601768
1613,868600,2604995
1614,3228,2608224
